Site,Mode,ModeFreq,Method
BU24/0011-M1,96,0.99,Annual
BU25/5007-M1,96,0.99,Annual
BU25/5008-M1,96,0.83,Annual
BU25/5014-M1,96,0.99,Annual
BU25/5016-M1,96,0.98,Annual
BU25/5022-M1,96,0.99,Annual
BU25/5035-M1,96,0.93,Annual
BU25/5036-M1,96,0.99,Annual
BU25/5047-M1,96,0.76,Annual
BU25/5051-M1,96,0.7,Annual
BU26/0002-M1,96,0.97,Annual
BU26/0003-M1,96,0.99,Annual
BU26/0007-M1,96,0.63,Annual
BU26/0008-M1,96,0.94,Annual
BU26/0009-M1,96,0.78,Annual
BU26/0013-M1,96,0.73,Annual
BV24/0003-M1,96,0.99,Annual
BV24/0004-M1,96,0.96,Annual
BV24/0006-M1,96,0.99,Annual
BV24/0015-M1,96,0.87,Annual
BV24/0016-M1,96,,Qtr4
BV24/0027-M1,96,0.98,Annual
BV24/0029-M1,96,0.83,Annual
BV24/0030-M1,96,0.91,Annual
BV24/0032-M1,96,0.81,Annual
BV24/0036-M1,96,0.91,Annual
BV24/0038-M1,96,0.94,Annual
BV24/0041-M1,96,0.88,Annual
BV24/0045-M1,96,0.96,Annual
BV24/0049-M1,96,0.99,Annual
BV24/0070-M1,96,0.36,Annual
BV24/0079-M1,96,0.99,Annual
BV24/0086-M1,96,nan,Qtr1
BV24/0108-M1,96,0.53,Annual
BV25/0003-M1,96,0.99,Annual
BV25/0004-M1,96,0.79,Annual
BV25/0014-M1,96,0.99,Annual
BV25/0015-M1,96,0.99,Annual
BV26/0001-M1,96,0.86,Annual
BV26/0004-M1,96,0.99,Annual
BV26/0009-M1,96,0.92,Annual
BW22/0008-M1,96,0.98,Annual
BW22/0009-M1,96,0.98,Annual
BW22/0022-M1,0,0.93,Annual
BW22/0023-M1,96,0.99,Annual
BW22/0025-M1,96,0.99,Annual
BW22/0046-M1,96,0.5,Annual
BW22/0047-M1,96,0.5,Annual
BW22/0063-M1,96,0.91,Annual
BW22/0069-M1,96,0.92,Annual
BW22/0071-M1,96,0.66,Annual
BW22/0072-M1,96,nan,Qtr1
BW22/0074-M1,96,0.96,Annual
BW22/0077-M1,96,1,Annual
BW22/0078-M1,96,0.98,Annual
BW22/0087-M1,96,0.99,Annual
BW22/0089-M1,96,0.99,Annual
BW23/0022-M1,96,0.87,Annual
BW23/0075-M1,96,,Qtr4
BW23/0083-M1,96,0.96,Annual
BW23/0112-M1,96,0.78,Annual
BW23/0168-M1,96,0.48,Annual
BW23/0169-M1,96,nan,Qtr3
BW23/0175-M1,96,nan,Qtr1
BW23/0205-M1,96,0.83,Annual
BW23/0209-M1,96,0.99,Annual
BW23/0213-M1,96,0.95,Annual
BW23/0257-M1,96,0.85,Annual
BW23/0297-M1,96,0.93,Annual
BW23/0298-M1,288,0.96,Annual
BW23/0299-M1,288,0.96,Annual
BW23/0302-M1,288,0.96,Annual
BW23/0303-M1,288,0.96,Annual
BW23/0376-M1,96,0.95,Annual
BW23/0381-M1,96,0.95,Annual
BW23/0401-M1,96,0.59,Annual
BW23/0432-M1,96,0.64,Annual
BW23/0464-M1,0,0.96,Annual
BW23/0470-M1,96,nan,Qtr1
BW23/0478-M1,96,0.93,Annual
BW24/0092-M1,96,0.99,Annual
BW24/0115-M1,96,0.86,Annual
BW24/0164-M1,96,0.97,Annual
BW24/0189-M1,96,0.99,Annual
BW24/0302-M1,96,nan,Qtr1
BW24/0363-M1,96,0.93,Annual
BW24/0374-M1,96,0.93,Annual
BW24/0382-M1,96,0.88,Annual
BW24/0406-M1,96,0.87,Annual
BX20/0009-M1,96,,Qtr4
BX20/0015-M1,96,0.85,Annual
BX20/0037-M1,96,0.99,Annual
BX20/0041-M1,96,0.6,Annual
BX20/0114-M1,96,0.97,Annual
BX21/0001-M1,96,0.95,Annual
BX21/0009-M1,24,0.99,Annual
BX21/0010-M1,96,0.99,Annual
BX21/0041-M1,96,0.96,Annual
BX21/0042-M1,96,0.96,Annual
BX21/0172-M1,96,0.95,Annual
BX22/0002-M1,96,0.99,Annual
BX22/0005-M1,96,0.81,Annual
BX22/0006-M1,0,0.93,Annual
BX22/0022-M1,96,0.97,Annual
BX22/0027-M1,96,0.9,Annual
BX22/0030-M1,96,0.79,Annual
BX22/0038-M1,96,0.58,Annual
BX22/0052-M1,96,0.73,Annual
BX22/0059-M1,96,0.99,Annual
BX22/0060-M1,96,0.85,Annual
BX22/0091-M1,96,0.87,Annual
BX22/0099-M1,96,0.96,Annual
BX22/0121-M1,96,0.94,Annual
BX22/0130-M1,96,0.93,Annual
BX22/0149-M1,96,0.95,Annual
BX22/0152-M1,96,0.98,Annual
BX22/0160-M1,96,0.9,Annual
BX22/0164-M1,96,0.99,Annual
BX22/0175-M1,96,0.99,Annual
BX22/0185-M1,96,0.99,Annual
BX23/0027-M1,96,0.95,Annual
BX23/0133-M1,96,0.95,Annual
BX23/0152-M1,96,nan,Qtr1
BX23/0179-M1,96,0.99,Annual
BX23/0185-M1,96,0.96,Annual
BX23/0213-M1,96,0.91,Annual
BX23/0232-M1,96,1,Annual
BX23/0236-M1,96,0.77,Annual
BX23/0253-M1,96,0.99,Annual
BX23/0261-M1,96,0.87,Annual
BX23/0270-M1,96,0.99,Annual
BX23/0300-M1,0,0.93,Annual
BX23/0307-M1,0,0.98,Annual
BX23/0312-M1,0,0.93,Annual
BX23/0334-M1,96,0.87,Annual
BX23/0379-M1,96,0.98,Annual
BX23/0421-M1,0,0.93,Annual
BX23/0473-M1,96,0.96,Annual
BX23/0499-M1,96,0.94,Annual
BX23/0507-M1,0,0.93,Annual
BX23/0508-M1,0,0.93,Annual
BX23/0511-M1,96,0.8,Annual
BX23/0539-M1,96,0.99,Annual
BX23/0547-M1,96,0.94,Annual
BX23/0576-M1,96,0.98,Annual
BX23/0586-M1,96,0.95,Annual
BX23/0608-M1,96,0.95,Annual
BX23/0617-M1,0,0.91,Annual
BX23/0623-M1,96,0.99,Annual
BX23/0655-M1,96,0.93,Annual
BX23/0657-M1,96,0.88,Annual
BX23/0671-M1,96,0.93,Annual
BX23/0707-M1,96,0.96,Annual
BX23/0724-M1,96,nan,Qtr1
BX23/0730-M1,96,0.84,Annual
BX23/0741-M1,96,0.96,Annual
BX23/0755-M1,96,0.99,Annual
BX23/0767-M1,0,0.98,Annual
BX23/0790-M1,96,1,Annual
BX23/0832-M1,96,0.98,Annual
BX23/0838-M1,96,0.94,Annual
BX23/0871-M1,96,nan,Qtr1
BX24/0172-M1,96,0.99,Annual
BX24/0319-M1,96,0.95,Annual
BX24/0346-M1,96,0.9,Annual
BX24/0347-M1,96,0.91,Annual
BX24/0527-M1,96,0.91,Annual
BX24/0947-M1,96,0.83,Annual
BX24/1001-M1,96,0.84,Annual
BX24/1577-M1,96,0.93,Annual
BY16/0002-M1,96,0.99,Annual
BY16/0004-M1,96,0.69,Annual
BY17/0004-M1,96,0.69,Annual
BY17/0033-M1,96,0.98,Annual
BY17/0034-M1,96,0.97,Annual
BY17/0034-M2,96,0.97,Annual
BY18/0009-M1,96,0.94,Annual
BY19/0103-M1,96,nan,Qtr1
BY20/0002-M1,0,0.87,Annual
BY20/0005-M1,96,0.96,Annual
BY20/0006-M1,96,0.98,Annual
BY20/0007-M1,96,0.98,Annual
BY20/0013-M1,96,0.98,Annual
BY20/0015-M1,96,0.99,Annual
BY20/0018-M1,24,0.9,Annual
BY20/0026-M1,96,0.89,Annual
BY20/0043-M1,96,0.98,Annual
BY20/0051-M1,96,0.81,Annual
BY20/0060-M1,96,0.82,Annual
BY20/0061-M1,96,0.86,Annual
BY20/0062-M1,96,0.81,Annual
BY20/0075-M1,96,0.98,Annual
BY20/0078-M1,96,0.86,Annual
BY20/0090-M1,96,0.94,Annual
BY20/0091-M1,96,0.95,Annual
BY20/0097-M1,96,0.98,Annual
BY20/0102-M1,96,0.64,Annual
BY20/0107-M1,96,0.95,Annual
BY20/0110-M1,96,0.78,Annual
BY20/0116-M1,96,0.84,Annual
BY20/0118-M1,0,0.95,Annual
BY20/0124-M1,96,0.77,Annual
